location,year,population,unemployment_rate,mean_household_income
Alabama,2010,54571,6,64733
Alabama,2010,182265,7,66054
Alabama,2010,27457,10,41710
Alabama,2010,22915,9,52292
Alabama,2010,57322,8,55476
Alabama,2010,10914,11,49226
Alabama,2010,20947,10,41165
Alabama,2010,118572,12,50337
Alabama,2010,34215,14,40393
Alabama,2010,25989,12,49201
Alabama,2010,43643,9,52296
Alabama,2010,13859,13,42669
Alabama,2010,25833,10,45652
Alabama,2010,13932,11,44304
Alabama,2010,14972,13,46341
Alabama,2010,49948,8,56399
Alabama,2010,54428,7,50479
Alabama,2010,13228,13,40997
Alabama,2010,11539,11,48207
Alabama,2010,37765,9,48407
Alabama,2010,13906,9,47820
Alabama,2010,80406,8,50801
Alabama,2010,50251,8,53380
Alabama,2010,43820,15,41387
Alabama,2010,71109,9,47291
Alabama,2010,79303,8,63370
Alabama,2010,38319,10,43123
Alabama,2010,104430,10,50026
Alabama,2010,17241,7,41909
Alabama,2010,31704,8,46038
Alabama,2010,26790,8,43510
Alabama,2010,9045,22,36678
Alabama,2010,15760,14,41007
Alabama,2010,17302,11,48685
Alabama,2010,101547,7,56518
Alabama,2010,53227,7,45624
Alabama,2010,658466,9,65169
Alabama,2010,14564,10,47615
Alabama,2010,92709,9,52999
Alabama,2010,34339,9,48705
Alabama,2010,140247,8,55567
Alabama,2010,82782,8,61801
Alabama,2010,11299,15,43645
Alabama,2010,21452,14,41707
Alabama,2010,334811,8,74304
Alabama,2010,21027,11,44760
Alabama,2010,30776,8,45173
Alabama,2010,93019,6,50978
Alabama,2010,412992,10,55272
Alabama,2010,23068,11,42962
Alabama,2010,229363,8,61229
Alabama,2010,119490,9,57816
Alabama,2010,10591,15,35597
Alabama,2010,19746,14,38880
Alabama,2010,32899,9,44797
Alabama,2010,22913,11,51016
Alabama,2010,52947,12,42025
Alabama,2010,83593,7,58970
Alabama,2010,195085,6,87725
Alabama,2010,13763,17,35831
Alabama,2010,82291,12,47255
Alabama,2010,41616,10,55481
Alabama,2010,194656,6,58032
Alabama,2010,67023,12,50971
Alabama,2010,17581,10,48757
Alabama,2010,11670,22,34585
Alabama,2010,24484,8,45163
Alaska,2010,3141,3,65923
Alaska,2010,5561,2,81401
Alaska,2010,291826,7,91251
Alaska,2010,17013,19,69184
Alaska,2010,997,11,88476
Alaska,2010,1826,2,78511
Alaska,2010,4847,15,76672
Alaska,2010,97581,7,79824
Alaska,2010,2508,6,64843
Alaska,2010,31275,6,89373
Alaska,2010,55400,9,70743
Alaska,2010,13477,7,71507
Alaska,2010,13592,6,73928
Alaska,2010,1631,10,55699
Alaska,2010,88995,10,78184
Alaska,2010,9492,17,67734
Alaska,2010,9430,25,80525
Alaska,2010,7523,26,65507
Alaska,2010,8881,7,73098
Alaska,2010,7029,13,72151
Alaska,2010,9636,10,74012
Alaska,2010,7459,27,47397
Alaska,2010,662,4,79072
Alaska,2010,5588,24,45463
Arizona,2010,71518,16,40762
Arizona,2010,131346,8,58119
Arizona,2010,134421,7,63284
Arizona,2010,53597,7,48377
Arizona,2010,37220,10,49430
Arizona,2010,8437,12,52969
Arizona,2010,20489,7,43362
Arizona,2010,3817117,7,73909
Arizona,2010,200186,11,51979
Arizona,2010,107449,12,49828
Arizona,2010,980263,8,61726
Arizona,2010,375770,8,60611
Arizona,2010,47420,12,52237
Arizona,2010,211033,7,58828
Arizona,2010,195751,11,51235
Arkansas,2010,19019,7,51570
Arkansas,2010,21853,10,45697
Arkansas,2010,41513,8,46811
Arkansas,2010,221339,5,66465
Arkansas,2010,36903,7,49516
Arkansas,2010,11508,7,45291
Arkansas,2010,5368,7,40409
Arkansas,2010,27446,8,47978
Arkansas,2010,11800,15,37631
Arkansas,2010,22995,9,45668
Arkansas,2010,16083,12,42936
Arkansas,2010,25970,7,48273
Arkansas,2010,8689,8,48861
Arkansas,2010,24552,12,50497
Arkansas,2010,21273,7,48219
Arkansas,2010,96443,8,55267
Arkansas,2010,61948,6,49278
Arkansas,2010,50902,13,47814
Arkansas,2010,17870,7,47785
Arkansas,2010,8116,10,40074
Arkansas,2010,13008,13,41443
Arkansas,2010,18509,12,45653
Arkansas,2010,113237,7,59387
Arkansas,2010,18125,8,45679
Arkansas,2010,12245,10,40662
Arkansas,2010,96024,8,52394
Arkansas,2010,17853,5,58299
Arkansas,2010,42090,8,45683
Arkansas,2010,22609,8,44741
Arkansas,2010,32923,11,47011
Arkansas,2010,13789,7,47437
Arkansas,2010,36647,7,48756
Arkansas,2010,13696,7,41446
Arkansas,2010,17997,11,39468
Arkansas,2010,77435,14,48368
Arkansas,2010,25540,8,41953
Arkansas,2010,7645,12,43978
Arkansas,2010,17415,9,37718
Arkansas,2010,10424,18,35162
Arkansas,2010,14134,12,47585
Arkansas,2010,13171,9,44825
Arkansas,2010,22353,8,48913
Arkansas,2010,68356,8,59934
Arkansas,2010,15717,4,48316
Arkansas,2010,16653,7,44334
Arkansas,2010,43462,8,49800
Arkansas,2010,46480,12,46772
Arkansas,2010,8149,11,40447
Arkansas,2010,9487,8,49468
Arkansas,2010,8997,11,50388
Arkansas,2010,8330,5,36344
Arkansas,2010,26120,13,42364
Arkansas,2010,10445,6,49950
Arkansas,2010,21757,17,39387
Arkansas,2010,11291,10,46346
Arkansas,2010,24583,12,40909
Arkansas,2010,20662,5,41302
Arkansas,2010,61754,7,51364
Arkansas,2010,8715,6,43556
Arkansas,2010,382748,7,64195
Arkansas,2010,17969,8,45507
Arkansas,2010,28258,14,38370
Arkansas,2010,107118,6,62574
Arkansas,2010,11233,9,44884
Arkansas,2010,8195,5,35868
Arkansas,2010,125744,6,55861
Arkansas,2010,17058,8,43081
Arkansas,2010,17264,8,38824
Arkansas,2010,12394,5,37650
Arkansas,2010,41639,9,49563
Arkansas,2010,17295,9,42456
Arkansas,2010,203065,6,57466
Arkansas,2010,77076,7,53250
Arkansas,2010,7260,9,40771
Arkansas,2010,22185,7,43611
California,2010,1510271,9,91057
California,2010,1175,14,83791
California,2010,38091,11,68010
California,2010,220000,12,57825
California,2010,45578,8,68564
California,2010,21419,14,62138
California,2010,1049025,8,103224
California,2010,28610,10,50175
California,2010,181058,8,88872
California,2010,930450,11,62710
California,2010,28122,8,55814
California,2010,134623,9,56483
California,2010,174528,15,54947
California,2010,18546,7,60031
California,2010,839631,11,63003
California,2010,152982,12,60784
California,2010,64665,12,51867
California,2010,34895,9,63013
California,2010,9818605,9,79658
California,2010,150865,12,62094
California,2010,252409,6,128544
California,2010,18251,13,61362
California,2010,87841,9,56951
California,2010,255793,14,58913
California,2010,9686,11,47898
California,2010,14202,7,67544
California,2010,415057,10,79575
California,2010,136484,7,92424
California,2010,98764,8,72571
California,2010,3010232,7,99719
California,2010,348432,7,92155
California,2010,20007,10,57751
California,2010,2189641,11,75076
California,2010,1418788,10,72390
California,2010,55269,10,81025
California,2010,2035210,11,70302
California,2010,3095313,8,83941
California,2010,805235,7,102267
California,2010,685306,12,70726
California,2010,269637,7,75904
California,2010,718451,7,118774
California,2010,423895,8,84294
California,2010,1781642,8,113161
California,2010,262382,8,88305
California,2010,177223,12,59107
California,2010,3240,9,58780
California,2010,44900,12,49142
California,2010,413344,9,82467
California,2010,483878,8,82330
California,2010,514453,13,66376
California,2010,94737,13,64910
California,2010,63463,11,52526
California,2010,13786,13,50465
California,2010,442179,12,58593
California,2010,55365,11,62936
California,2010,823318,7,96331
California,2010,200849,9,75575
California,2010,72155,15,58506
Colorado,2010,441603,8,66712
Colorado,2010,15445,10,48219
Colorado,2010,572003,7,79446
Colorado,2010,12084,11,80083
Colorado,2010,3788,3,48193
Colorado,2010,6499,15,45453
Colorado,2010,294567,6,90079
Colorado,2010,55889,6,92410
Colorado,2010,17809,8,58150
Colorado,2010,1836,6,57622
Colorado,2010,9088,7,73787
Colorado,2010,8256,9,44310
Colorado,2010,3524,11,38967
Colorado,2010,5823,7,47930
Colorado,2010,4255,11,56221
Colorado,2010,30952,7,51694
Colorado,2010,600158,8,68203
Colorado,2010,2064,9,47238
Colorado,2010,285465,5,117692
Colorado,2010,52197,4,96523
Colorado,2010,23086,7,94912
Colorado,2010,622263,8,71915
Colorado,2010,46824,5,52032
Colorado,2010,56389,6,76381
Colorado,2010,5441,4,70221
Colorado,2010,14843,4,66981
Colorado,2010,15324,5,67333
Colorado,2010,843,4,87473
Colorado,2010,6711,11,49879
Colorado,2010,1394,2,53538
Colorado,2010,534543,7,83789
Colorado,2010,1398,3,52661
Colorado,2010,8270,5,51158
Colorado,2010,7310,5,49400
Colorado,2010,51334,5,71920
Colorado,2010,299630,7,73705
Colorado,2010,15507,8,51451
Colorado,2010,5467,9,57987
Colorado,2010,22709,6,53483
Colorado,2010,146723,6,67123
Colorado,2010,712,1,98901
Colorado,2010,13795,4,60175
Colorado,2010,25535,9,57342
Colorado,2010,41276,7,57466
Colorado,2010,28159,7,52841
Colorado,2010,18831,8,44491
Colorado,2010,4436,8,70059
Colorado,2010,16206,5,72240
Colorado,2010,4442,3,55341
Colorado,2010,17148,2,134267
Colorado,2010,12551,5,46168
Colorado,2010,159063,10,53333
Colorado,2010,6666,4,67340
Colorado,2010,11982,12,48889
Colorado,2010,23509,4,76238
Colorado,2010,6108,11,42756
Colorado,2010,699,10,49896
Colorado,2010,7359,4,84717
Colorado,2010,2379,6,49650
Colorado,2010,27994,5,85994
Colorado,2010,23350,8,70202
Colorado,2010,4814,3,51486
Colorado,2010,252825,6,68045
Colorado,2010,10043,3,55910
Connecticut,2010,916829,8,130074
Connecticut,2010,894014,8,82823
Connecticut,2010,189927,7,87859
Connecticut,2010,165676,6,92466
Connecticut,2010,862477,8,80181
Connecticut,2010,274055,6,82740
Connecticut,2010,152691,6,90409
Connecticut,2010,118428,10,68592
Delaware,2010,162310,8,63664
Delaware,2010,538479,7,81501
Delaware,2010,197145,7,65253
District of Columbia,2010,601723,9,91778
District of Columbia,2010,601723,9,91778
Florida,2010,247336,7,59865
Florida,2010,27115,7,59567
Florida,2010,168852,8,60069
Florida,2010,28520,10,50537
Florida,2010,543376,9,65457
Florida,2010,1748066,9,71803
Florida,2010,14625,8,43968
Florida,2010,159978,11,58539
Florida,2010,141236,12,50492
Florida,2010,190865,8,73441
Florida,2010,321520,8,92469
Florida,2010,67531,13,50319
Florida,2010,34862,10,45896
Florida,2010,16422,10,41731
Florida,2010,864263,9,64373
Florida,2010,297619,10,58387
Florida,2010,95696,9,60744
Florida,2010,11549,11,49483
Florida,2010,46389,11,45356
Florida,2010,16939,13,49587
Florida,2010,12884,8,47128
Florida,2010,15863,8,48784
Florida,2010,14799,14,49814
Florida,2010,27731,11,47706
Florida,2010,39140,14,48341
Florida,2010,172778,12,54050
Florida,2010,98786,11,45065
Florida,2010,1229226,9,68285
Florida,2010,19927,9,41046
Florida,2010,138028,11,73226
Florida,2010,49746,9,48377
Florida,2010,14761,12,52572
Florida,2010,8870,8,54556
Florida,2010,297052,8,61248
Florida,2010,618754,10,70522
Florida,2010,275487,8,62693
Florida,2010,40801,10,46247
Florida,2010,8365,18,52893
Florida,2010,19224,9,45984
Florida,2010,322833,9,65815
Florida,2010,331298,11,53259
Florida,2010,146318,9,83891
Florida,2010,2496435,9,64371
Florida,2010,73090,5,81776
Florida,2010,73314,8,74400
Florida,2010,180822,7,70065
Florida,2010,39996,11,54226
Florida,2010,1145956,9,67773
Florida,2010,268685,10,57234
Florida,2010,1320134,9,80558
Florida,2010,464697,10,57916
Florida,2010,916542,8,62977
Florida,2010,602095,9,56771
Florida,2010,74364,11,45489
Florida,2010,190039,7,90402
Florida,2010,277789,12,59072
Florida,2010,151372,9,66888
Florida,2010,379448,9,71539
Florida,2010,422718,7,77690
Florida,2010,93420,12,54032
Florida,2010,41551,9,47427
Florida,2010,22570,13,48588
Florida,2010,15535,9,51846
Florida,2010,494593,8,58666
Florida,2010,30776,7,60391
Florida,2010,55043,8,65691
Florida,2010,24896,10,47851
Georgia,2010,18236,5,46699
Georgia,2010,8375,10,44108
Georgia,2010,11096,7,45482
Georgia,2010,3451,7,41802
Georgia,2010,45720,8,48287
Georgia,2010,18395,8,51932
Georgia,2010,69367,10,58538
Georgia,2010,100157,7,61298
Georgia,2010,17634,14,40088
Georgia,2010,19286,9,41465
Georgia,2010,155547,10,55697
Georgia,2010,13063,5,51833
Georgia,2010,18411,8,48023
Georgia,2010,16243,8,51651
Georgia,2010,30233,6,77604
Georgia,2010,70217,9,47518
Georgia,2010,23316,9,43711
Georgia,2010,23655,9,59172
Georgia,2010,6694,10,38956
Georgia,2010,50513,10,58344
Georgia,2010,10998,10,44843
Georgia,2010,110527,10,56254
Georgia,2010,63942,7,58140
Georgia,2010,12171,10,48399
Georgia,2010,265128,7,62332
Georgia,2010,11267,10,56811
Georgia,2010,26015,10,40738
Georgia,2010,214346,7,83176
Georgia,2010,116714,7,51519
Georgia,2010,3183,21,33712
Georgia,2010,259424,13,52802
Georgia,2010,6798,4,42631
Georgia,2010,688078,7,85962
Georgia,2010,42356,8,46521
Georgia,2010,45498,8,46600
Georgia,2010,124053,6,81277
Georgia,2010,17212,12,42245
Georgia,2010,127317,7,71750
Georgia,2010,12630,7,53647
Georgia,2010,23439,11,43252
Georgia,2010,16633,9,52397
Georgia,2010,22330,8,66483
Georgia,2010,27842,6,46514
Georgia,2010,691893,12,70925
Georgia,2010,21796,7,43005
Georgia,2010,14918,9,42628
Georgia,2010,94565,13,48311
Georgia,2010,132403,11,68004
Georgia,2010,11008,8,42645
Georgia,2010,4034,8,41538
Georgia,2010,52250,8,66656
Georgia,2010,20166,10,42080
Georgia,2010,22598,10,42368
Georgia,2010,11000,6,49171
Georgia,2010,23682,9,47451
Georgia,2010,106567,6,97095
Georgia,2010,96317,9,54549
Georgia,2010,175511,6,103480
Georgia,2010,22084,6,48094
Georgia,2010,920581,9,89871
Georgia,2010,28292,8,49838
Georgia,2010,3082,9,44263
Georgia,2010,79626,7,68811
Georgia,2010,55186,8,49152
Georgia,2010,25011,11,45539
Georgia,2010,15994,12,63872
Georgia,2010,805321,8,78399
Georgia,2010,43041,8,54346
Georgia,2010,179684,6,67566
Georgia,2010,9429,11,30209
Georgia,2010,28780,15,50615
Georgia,2010,32024,7,84697
Georgia,2010,25213,9,47774
Georgia,2010,11834,10,48529
Georgia,2010,203922,9,73720
Georgia,2010,139900,9,66168
Georgia,2010,9538,11,50062
Georgia,2010,60485,6,62478
Georgia,2010,13900,11,54412
Georgia,2010,15068,6,41099
Georgia,2010,16930,13,39232
Georgia,2010,8340,13,46505
Georgia,2010,9980,7,45958
Georgia,2010,28669,6,59391
Georgia,2010,18317,14,46343
Georgia,2010,10078,6,46680
Georgia,2010,48434,5,50556
Georgia,2010,28298,6,69702
Georgia,2010,63453,11,50303
Georgia,2010,7996,11,46648
Georgia,2010,14464,8,42803
Georgia,2010,109233,9,52709
Georgia,2010,29966,9,52451
Georgia,2010,21875,9,44201
Georgia,2010,14333,8,50395
Georgia,2010,14740,8,37286
Georgia,2010,28120,7,51948
Georgia,2010,8742,11,44052
Georgia,2010,21992,11,47735
Georgia,2010,6125,6,46204
Georgia,2010,23498,8,45661
Georgia,2010,26424,5,64742
Georgia,2010,9123,4,45909
Georgia,2010,17868,9,72894
Georgia,2010,39628,10,46349
Georgia,2010,189885,9,56424
Georgia,2010,99958,11,60754
Georgia,2010,32808,5,96163
Georgia,2010,14899,7,50071
Georgia,2010,142324,9,67654
Georgia,2010,27695,12,53794
Georgia,2010,29431,9,65987
Georgia,2010,18758,4,48366
Georgia,2010,17869,8,59826
Georgia,2010,41475,11,48058
Georgia,2010,12010,12,44203
Georgia,2010,21218,8,61686
Georgia,2010,2513,12,32792
Georgia,2010,16276,9,51301
Georgia,2010,7719,15,43948
Georgia,2010,200549,11,50131
Georgia,2010,85215,12,67901
Georgia,2010,5010,5,45125
Georgia,2010,14593,15,44038
Georgia,2010,8729,12,51029
Georgia,2010,64073,12,52155
Georgia,2010,26175,10,47697
Georgia,2010,6058,8,38340
Georgia,2010,32819,13,45454
Georgia,2010,6865,16,43869
Georgia,2010,1717,15,35122
Georgia,2010,25520,9,47745
Georgia,2010,8906,5,39650
Georgia,2010,16500,3,34131
Georgia,2010,9315,17,42269
Georgia,2010,44720,10,53406
Georgia,2010,40118,9,48524
Georgia,2010,27223,5,46930
Georgia,2010,10471,6,48212
Georgia,2010,6885,7,44029
Georgia,2010,67044,10,52841
Georgia,2010,8930,10,42685
Georgia,2010,9023,13,42168
Georgia,2010,21356,9,54885
Georgia,2010,27153,14,43511
Georgia,2010,68756,11,49721
Georgia,2010,83768,8,62089
Georgia,2010,36312,8,47848
Georgia,2010,5834,9,38820
Georgia,2010,21187,9,42761
Georgia,2010,30099,9,50088
Georgia,2010,2799,14,37864
Georgia,2010,7421,3,38625
Georgia,2010,27144,6,53790
Georgia,2010,102599,9,56590
Georgia,2010,9255,9,38949
Georgia,2010,10593,13,40766
Georgia,2010,9563,6,47956
Georgia,2010,21679,14,48366
Hawaii,2010,185079,8,70274
Hawaii,2010,953207,5,86398
Hawaii,2010,90,0,48143
Hawaii,2010,67091,6,75989
Hawaii,2010,154834,7,82113
Idaho,2010,392365,7,72123
Idaho,2010,3976,10,53129
Idaho,2010,82839,6,56463
Idaho,2010,5986,4,49053
Idaho,2010,9285,7,44951
Idaho,2010,45607,6,56568
Idaho,2010,21376,6,79253
Idaho,2010,7028,14,56525
Idaho,2010,40877,6,56165
Idaho,2010,104234,5,64839
Idaho,2010,10972,5,44642
Idaho,2010,2891,5,49322
Idaho,2010,1117,10,55294
Idaho,2010,188923,10,53071
Idaho,2010,6963,3,53605
Idaho,2010,22952,7,51061
Idaho,2010,982,2,52229
Idaho,2010,8761,9,51253
Idaho,2010,4368,7,50235
Idaho,2010,27038,8,54076
Idaho,2010,12786,7,54949
Idaho,2010,13242,4,53175
Idaho,2010,16719,8,51627
Idaho,2010,15464,5,46925
Idaho,2010,16267,9,44642
Idaho,2010,26140,5,60205
Idaho,2010,22374,4,48072
Idaho,2010,138494,8,60163
Idaho,2010,37244,8,48853
Idaho,2010,7936,9,47461
Idaho,2010,3821,7,42127
Idaho,2010,5208,5,52737
Idaho,2010,37536,8,48780
Idaho,2010,20069,8,48699
Idaho,2010,39265,7,55983
Idaho,2010,4286,3,47202
Idaho,2010,11526,11,46888
Idaho,2010,22623,10,49669
Idaho,2010,7817,8,51488
Idaho,2010,12765,6,42720
Idaho,2010,10170,4,61276
Idaho,2010,77230,6,51890
Idaho,2010,9862,8,62747
Idaho,2010,10198,10,50004
Illinois,2010,67103,6,58516
Illinois,2010,8238,11,38403
Illinois,2010,17768,10,61760
Illinois,2010,54165,10,76279
Illinois,2010,6937,6,54754
Illinois,2010,34978,7,57609
Illinois,2010,5089,9,55194
Illinois,2010,15387,7,58301
Illinois,2010,13642,8,51271
Illinois,2010,201081,7,61218
Illinois,2010,34800,7,52795
Illinois,2010,16335,7,56184
Illinois,2010,13815,9,48204
Illinois,2010,37762,6,66735
Illinois,2010,53873,10,52123
Illinois,2010,5194675,10,76091
Illinois,2010,19817,14,53453
Illinois,2010,11048,9,53588
Illinois,2010,105160,9,65529
Illinois,2010,16561,7,58489
Illinois,2010,19980,5,55889
Illinois,2010,916924,7,101724
Illinois,2010,18576,9,51554
Illinois,2010,6721,7,48979
Illinois,2010,34242,5,62422
Illinois,2010,22140,7,53513
Illinois,2010,14081,8,57418
Illinois,2010,39561,12,43599
Illinois,2010,37069,8,50446
Illinois,2010,5589,10,52383
Illinois,2010,13886,6,52801
Illinois,2010,50063,9,74209
Illinois,2010,8457,8,52001
Illinois,2010,19104,6,53894
Illinois,2010,4320,6,40771
Illinois,2010,7331,7,51413
Illinois,2010,50486,5,60985
Illinois,2010,29718,8,58812
Illinois,2010,60218,10,45658
Illinois,2010,9698,7,52356
Illinois,2010,38827,9,53900
Illinois,2010,22985,5,62728
Illinois,2010,22678,5,61591
Illinois,2010,12582,8,48435
Illinois,2010,515269,8,86358
Illinois,2010,113449,10,61006
Illinois,2010,114736,7,90109
Illinois,2010,52919,8,50000
Illinois,2010,703462,8,108987
Illinois,2010,113924,10,61765
Illinois,2010,16833,8,48142
Illinois,2010,36031,8,61205
Illinois,2010,38950,7,60135
Illinois,2010,30305,6,59137
Illinois,2010,32612,9,45049
Illinois,2010,308760,8,89318
Illinois,2010,169572,6,72266
Illinois,2010,110768,8,59665
Illinois,2010,47765,8,56591
Illinois,2010,269282,7,64369
Illinois,2010,39437,10,49518
Illinois,2010,12640,7,58911
Illinois,2010,14666,8,54909
Illinois,2010,15429,6,48654
Illinois,2010,12705,4,64720
Illinois,2010,16434,6,61261
Illinois,2010,32957,5,82279
Illinois,2010,30104,7,55128
Illinois,2010,35547,8,56934
Illinois,2010,14846,5,57779
Illinois,2010,53497,9,63538
Illinois,2010,186494,8,68043
Illinois,2010,22350,9,47581
Illinois,2010,16729,4,66150
Illinois,2010,16430,7,49558
Illinois,2010,4470,6,47291
Illinois,2010,6161,14,46001
Illinois,2010,6006,7,65510
Illinois,2010,33476,6,53566
Illinois,2010,16233,7,54481
Illinois,2010,147546,8,59694
Illinois,2010,270056,9,61917
Illinois,2010,24913,9,48567
Illinois,2010,197465,7,66757
Illinois,2010,7544,6,48718
Illinois,2010,5355,5,67258
Illinois,2010,22363,6,52893
Illinois,2010,5994,7,64295
Illinois,2010,47711,9,53303
Illinois,2010,135394,6,66170
Illinois,2010,17808,9,50227
Illinois,2010,81625,10,49207
Illinois,2010,11947,6,57487
Illinois,2010,17707,7,49784
Illinois,2010,14716,5,60128
Illinois,2010,16760,7,49841
Illinois,2010,14665,8,49599
Illinois,2010,58498,7,57047
Illinois,2010,677560,8,88746
Illinois,2010,66357,10,52853
Illinois,2010,295266,10,60594
Illinois,2010,38664,5,77920
Indiana,2010,34387,9,52920
Indiana,2010,355329,8,62169
Indiana,2010,76794,7,67482
Indiana,2010,8854,6,53983
Indiana,2010,12766,13,51944
Indiana,2010,56640,4,102927
Indiana,2010,15242,9,60332
Indiana,2010,20155,7,58070
Indiana,2010,38966,8,53502
Indiana,2010,110232,8,57275
Indiana,2010,26890,7,52567
Indiana,2010,33224,8,56743
Indiana,2010,10713,11,45336
Indiana,2010,31648,5,55219
Indiana,2010,50047,7,66403
Indiana,2010,25740,8,57592
Indiana,2010,42223,10,56116
Indiana,2010,117671,12,50528
Indiana,2010,41889,4,63169
Indiana,2010,197559,10,60798
Indiana,2010,24277,12,46450
Indiana,2010,74578,8,64640
Indiana,2010,17240,9,51522
Indiana,2010,23087,7,62203
Indiana,2010,20836,8,51686
Indiana,2010,33503,7,56305
Indiana,2010,70061,11,49698
Indiana,2010,33165,10,50870
Indiana,2010,274569,4,104620
Indiana,2010,70002,6,73906
Indiana,2010,39364,8,62070
Indiana,2010,145448,5,78802
Indiana,2010,49462,10,50227
Indiana,2010,82752,10,57337
Indiana,2010,37124,9,55379
Indiana,2010,42376,9,54078
Indiana,2010,33478,8,62841
Indiana,2010,21253,9,48604
Indiana,2010,32428,7,53089
Indiana,2010,28525,12,48958
Indiana,2010,139654,6,74352
Indiana,2010,38440,7,50030
Indiana,2010,77358,9,61142
Indiana,2010,37128,8,56578
Indiana,2010,496005,10,60205
Indiana,2010,111467,10,58030
Indiana,2010,46134,10,51853
Indiana,2010,131636,10,53531
Indiana,2010,903393,10,59250
Indiana,2010,47051,8,59202
Indiana,2010,10334,6,53843
Indiana,2010,36903,12,49231
Indiana,2010,137974,7,54722
Indiana,2010,38124,7,57484
Indiana,2010,68894,9,64389
Indiana,2010,14244,8,61431
Indiana,2010,47536,10,52910
Indiana,2010,6128,7,63983
Indiana,2010,19840,12,47618
Indiana,2010,21575,8,51768
Indiana,2010,17339,8,51515
Indiana,2010,19338,6,52147
Indiana,2010,12845,7,48906
Indiana,2010,164343,8,72544
Indiana,2010,25910,6,67756
Indiana,2010,13402,8,52837
Indiana,2010,37963,7,58159
Indiana,2010,26171,9,48401
Indiana,2010,28818,8,57418
Indiana,2010,17392,9,55500
Indiana,2010,266931,10,59204
Indiana,2010,24181,10,49126
Indiana,2010,44436,8,67357
Indiana,2010,20952,6,61166
Indiana,2010,23363,11,45499
Indiana,2010,34185,8,57580
Indiana,2010,21475,7,52447
Indiana,2010,10613,8,53703
Indiana,2010,172780,8,56666
Indiana,2010,15936,6,57603
Indiana,2010,7516,6,48669
Indiana,2010,179703,6,56599
Indiana,2010,16212,7,53996
Indiana,2010,107848,8,51713
Indiana,2010,32888,9,50813
Indiana,2010,8508,8,59527
Indiana,2010,59689,6,79457
Indiana,2010,28262,9,49118
Indiana,2010,68917,11,52535
Indiana,2010,27636,9,58853
Indiana,2010,24643,8,55461
Indiana,2010,33292,9,61179
Iowa,2010,7682,5,53911
Iowa,2010,4029,3,53982
Iowa,2010,14330,6,52496
Iowa,2010,12887,11,45614
Iowa,2010,6119,4,55205
Iowa,2010,26076,5,63429
Iowa,2010,131090,7,57080
Iowa,2010,26306,5,63003
Iowa,2010,24276,5,66464
Iowa,2010,20958,5,60152
Iowa,2010,20260,4,54825
Iowa,2010,14867,4,58058
Iowa,2010,9670,4,53148
Iowa,2010,20816,3,59057
Iowa,2010,13956,5,49527
Iowa,2010,18499,4,59795
Iowa,2010,44151,6,56743
Iowa,2010,12072,4,53811
Iowa,2010,12439,6,52634
Iowa,2010,9286,5,57908
Iowa,2010,16667,5,57563
Iowa,2010,18129,5,52737
Iowa,2010,49116,7,56490
Iowa,2010,17096,5,53979
Iowa,2010,66135,4,84352
Iowa,2010,8753,7,58318
Iowa,2010,8457,5,47477
Iowa,2010,17764,5,54704
Iowa,2010,40325,8,53117
Iowa,2010,16667,6,62169
Iowa,2010,93653,5,62333
Iowa,2010,10302,4,58156
Iowa,2010,20880,5,51590
Iowa,2010,16303,6,49676
Iowa,2010,10680,4,53761
Iowa,2010,7441,5,55684
Iowa,2010,9336,4,53579
Iowa,2010,12453,3,65369
Iowa,2010,10954,4,62908
Iowa,2010,15673,4,58579
Iowa,2010,11341,6,54295
Iowa,2010,17534,5,56786
Iowa,2010,14928,5,58635
Iowa,2010,20145,6,57595
Iowa,2010,9566,4,53071
Iowa,2010,9815,4,56667
Iowa,2010,7089,4,54089
Iowa,2010,16355,3,65100
Iowa,2010,19848,4,54347
Iowa,2010,36842,6,56232
Iowa,2010,16843,5,55912
Iowa,2010,130882,4,68359
Iowa,2010,20638,4,58063
Iowa,2010,10511,4,51067
Iowa,2010,15543,3,63675
Iowa,2010,35862,7,51973
Iowa,2010,211226,5,68084
Iowa,2010,11387,8,54503
Iowa,2010,8898,11,48447
Iowa,2010,11581,3,55855
Iowa,2010,15679,4,67376
Iowa,2010,22381,6,53519
Iowa,2010,33309,5,64039
Iowa,2010,40648,7,56192
Iowa,2010,15059,4,68896
Iowa,2010,10776,5,55065
Iowa,2010,9243,6,50924
Iowa,2010,7970,7,50514
Iowa,2010,10740,8,49572
Iowa,2010,42745,8,61079
Iowa,2010,14398,3,58127
Iowa,2010,6462,3,54481
Iowa,2010,15932,5,51524
Iowa,2010,9421,6,53680
Iowa,2010,24986,3,70637
Iowa,2010,7310,5,51233
Iowa,2010,430640,5,71821
Iowa,2010,93158,7,59390
Iowa,2010,18914,5,61180
Iowa,2010,5131,5,53127
Iowa,2010,10350,4,54801
Iowa,2010,165224,6,66350
Iowa,2010,12167,4,53464
Iowa,2010,33704,3,59741
Iowa,2010,89542,5,62631
Iowa,2010,17767,6,57459
Iowa,2010,6317,4,50128
Iowa,2010,12534,5,48268
Iowa,2010,7570,6,48563
Iowa,2010,35625,8,52952
Iowa,2010,46225,4,75749
Iowa,2010,21704,5,59007
Iowa,2010,6403,9,43504
Iowa,2010,38013,7,52951
Iowa,2010,10866,5,52261
Iowa,2010,21056,4,61074
Iowa,2010,102172,6,56245
