"year","avg_unemployment_rate"
2010,"9.6315789473684211"
2011,"10.4315789473684211"
2012,"11.2421052631578947"
2013,"6.4421052631578947"
2014,"5.9052631578947368"
2015,"5.1789473684210526"
2016,"4.5684210526315789"
2017,"3.9789473684210526"
2018,"3.6210526315789474"
